task_type,resources,duration,cost
Validation,1,10,2749
Validation,2,23,1506
Validation,1,19,1154
Development,6,36,1573
Validation,9,36,1157
Analysis,6,44,4370
Analysis,1,33,3759
Development,6,43,4676
Analysis,3,17,639
Analysis,8,40,3789
Analysis,4,34,1153
Validation,5,16,1601
Development,9,35,4972
Analysis,5,19,4135
Validation,4,29,514
Analysis,8,25,2072
Testing,2,11,4143
Analysis,6,49,2711
Testing,6,44,2659
Development,3,23,3904
Development,2,18,670
Validation,7,29,3260
Validation,8,28,2125
Validation,8,17,1199
Validation,3,28,2036
Development,7,22,1554
Analysis,7,6,3348
Analysis,7,35,4662
Testing,7,9,3299
Validation,7,36,4572
Validation,6,5,3374
Development,4,19,4503
Validation,7,35,2508
Testing,6,24,4337
Development,1,37,2290
Development,2,20,4632
Analysis,1,25,1041
Development,5,12,881
Validation,3,37,591
Development,4,13,2577
Testing,5,14,3268
Validation,8,22,3053
Validation,6,16,3420
Validation,1,32,1396
Validation,6,32,3400
Validation,2,7,4495
Validation,4,6,970
Analysis,9,9,3191
Testing,2,31,4211
Development,5,32,956
Testing,8,20,2080
Development,1,17,3262
Testing,6,21,2472
Development,9,34,2103
Testing,3,26,2733
Testing,3,25,4405
Analysis,2,5,2670
Testing,2,38,1366
Validation,1,29,3042
Testing,7,49,4614
Development,4,19,2590
Validation,2,17,4881
Testing,8,21,3153
Analysis,7,32,3594
Analysis,6,15,4226
Analysis,6,34,1256
Development,5,42,1200
Analysis,4,27,545
Analysis,8,20,859
Development,9,49,3405
Development,6,48,3533
Development,3,47,3630
Development,8,21,3051
Development,8,8,2038
Development,3,34,4007
Analysis,3,34,2098
Development,8,6,4757
Validation,8,26,2970
Testing,9,32,3119
Validation,7,28,1686
Development,3,36,1588
Testing,9,36,4827
Validation,9,35,3115
Testing,3,12,3169
Validation,1,17,3680
Testing,9,40,1188
Development,9,8,3315
Validation,6,7,4736
Testing,7,17,4553
Development,6,43,4306
Analysis,5,21,2818
Validation,8,22,4635
Analysis,5,19,976
Development,2,11,3624
Development,4,37,2141
Analysis,7,16,1535
Testing,7,10,915
Development,4,14,1486
Development,4,31,4002
Testing,4,21,3883
Development,4,40,3323
Validation,7,33,4989
Validation,5,24,4943
Validation,1,24,4632
Testing,7,32,1536
Analysis,6,33,2513
Development,4,24,3353
Analysis,4,48,4171
Development,1,34,2764
Validation,3,31,2521
Development,7,28,4847
Development,7,10,3801
Analysis,6,44,3287
Analysis,7,8,1751
Testing,1,28,2483
Testing,3,43,3652
Testing,6,12,3927
Testing,3,31,1705
Development,2,27,4334
Validation,1,26,4908
Development,1,44,4519
Analysis,9,15,1093
Analysis,3,27,2719
Analysis,3,41,3613
Testing,4,21,4634
Validation,6,23,1955
Analysis,9,10,1287
Testing,5,17,2226
Development,7,46,2782
Development,8,30,4530
Validation,2,13,1212
Analysis,2,6,4729
Development,8,49,4780
Development,6,22,1018
Testing,7,10,1063
Validation,1,5,4933
Analysis,3,20,4806
Testing,7,46,570
Validation,4,35,827
Development,7,33,3682
Development,6,25,2789
Development,3,14,2324
Development,9,39,4885
Analysis,8,17,2418
Analysis,2,38,2646
Testing,4,17,3128
Development,9,47,2918
Analysis,2,21,3656
Validation,1,41,950
Validation,1,28,4124
Validation,7,16,3243
Development,7,32,2992
Development,7,8,959
Analysis,8,18,1143
Development,7,20,590
Analysis,9,46,3563
Validation,7,47,3653
Testing,8,17,1555
Development,8,39,3074
Analysis,4,9,507
Development,4,47,4598
Analysis,4,15,4969
Analysis,9,46,2869
Validation,2,36,2458
Testing,9,41,2579
Validation,9,49,3724
Development,9,13,3387
Development,5,46,1261
Analysis,3,44,1882
Validation,4,42,1630
Development,4,30,3281
Development,9,6,3793
Testing,2,38,2236
Validation,3,47,3564
Analysis,7,42,541
Analysis,9,36,2199
Validation,8,33,2706
Development,5,21,4027
Development,5,19,3563
Analysis,5,19,4232
Testing,7,27,3817
Testing,6,31,1153
Development,4,6,4004
Testing,3,20,2361
Validation,8,49,2425
Development,9,30,820
Analysis,6,28,2876
Testing,8,12,4962
Development,8,33,1685
Validation,9,39,2046
Analysis,6,47,3958
Testing,5,20,3337
Development,6,6,4805
Validation,9,47,2905
Development,9,24,1501
Development,7,9,1231
Analysis,2,19,2443
Validation,3,18,4560
Validation,1,31,1964
Analysis,2,27,3942
Development,7,17,896
Development,6,24,4918
Validation,3,45,4656
Development,8,15,4780
Validation,9,39,4004
Testing,5,39,611
Development,9,7,2607
Development,3,31,4323
Validation,6,33,4028
Analysis,2,43,4401
Validation,6,45,798
Analysis,9,5,1109
Testing,9,49,4797
Testing,3,37,908
Testing,3,33,1740
Analysis,7,11,3018
Testing,2,34,931
Testing,2,48,3797
Analysis,3,49,4754
Development,6,6,4023
Analysis,5,24,3752
Analysis,1,24,3604
Development,2,10,4131
Development,1,49,1714
Testing,4,33,1287
Development,6,14,2376
Development,5,46,1229
Validation,4,32,4910
Validation,4,28,1582
Development,8,18,974
Analysis,6,33,1455
Validation,1,26,2847
Analysis,7,25,1210
Development,9,26,2020
Testing,3,21,4254
Validation,2,16,1460
Validation,9,19,1215
Testing,5,24,1959
Analysis,5,26,1968
Testing,3,28,1648
Testing,6,26,2717
Testing,1,11,4741
Development,3,42,4374
Analysis,4,14,3230
Validation,8,19,3688
Development,9,7,1141
Analysis,5,12,943
Development,7,18,2386
Testing,4,23,1021
Development,4,42,741
Development,4,9,2933
Testing,5,48,3367
Testing,5,9,3769
Testing,2,29,1939
Development,3,9,4963
Analysis,7,41,2770
Analysis,3,34,3103
Analysis,2,17,3536
Development,1,35,982
Validation,6,43,2204
Validation,8,36,1455
Testing,4,18,3173
Development,2,7,4448
Development,5,31,2125
Analysis,2,23,2280
Testing,8,43,2639
Validation,2,28,4030
Validation,4,7,4001
Analysis,2,10,972
Development,7,27,599
Testing,2,36,4145
Validation,4,7,4836
Testing,3,25,2215
Validation,1,15,2483
Testing,7,40,1886
Development,2,18,885
Validation,2,40,1961
Analysis,6,34,1888
Testing,1,45,3658
Testing,9,37,2407
Validation,6,17,945
Validation,7,36,1494
Development,6,41,2148
Analysis,3,20,4325
Testing,2,28,2894
Validation,8,7,1717
Analysis,4,45,3415
Analysis,1,18,579
Testing,1,12,866
Validation,2,34,1154
Validation,7,11,3669
Testing,3,5,3677
Validation,6,15,1127
Analysis,2,5,828
Analysis,7,29,2416
Validation,8,39,3973
Development,6,28,4077
Development,2,22,1807
Analysis,1,39,3458
Development,7,12,4908
Validation,4,9,4975
Development,2,16,3144
Analysis,5,45,4993
Testing,1,23,3166
Validation,8,26,4194
Analysis,7,6,3540
Analysis,3,11,3665
Validation,1,26,4467
Validation,1,5,1854
Testing,3,41,3793
Testing,6,27,751
Development,9,28,1626
Analysis,7,45,2257
Testing,3,41,1526
Validation,9,49,4543
Development,1,13,3171
Analysis,9,27,2191
Analysis,2,26,4488
Development,3,31,3553
Testing,2,7,954
Development,6,46,3614
Development,8,6,3586
Analysis,9,13,615
Testing,3,20,1964
Analysis,6,29,1343
Validation,1,14,1800
Analysis,8,25,4758
Development,8,43,798
Validation,7,34,3220
Validation,6,46,4260
Validation,1,25,4953
Testing,8,9,656
Analysis,8,11,2953
Testing,2,18,2998
Development,3,44,2676
Analysis,9,13,862
Testing,4,42,1545
Development,7,44,4767
Development,4,27,4276
Validation,4,24,2607
Analysis,1,38,2995
Development,7,20,3344
Testing,4,18,894
Testing,7,12,968
Analysis,5,49,4904
Validation,3,17,3295
Analysis,2,47,912
Validation,2,48,4105
Testing,9,35,2586
Validation,6,38,2188
Testing,7,39,2595
Analysis,3,32,628
Validation,9,31,550
Development,7,35,2777
Development,8,12,3529
Development,3,5,1849
Validation,3,37,2806
Analysis,1,36,1672
Validation,5,30,1942
Testing,9,26,1619
Testing,3,11,4837
Testing,9,8,4492
Testing,3,43,4644
Testing,8,27,552
Validation,9,43,617
Testing,5,41,980
Analysis,1,31,2758
Analysis,9,8,3316
Development,6,48,1208
Testing,4,22,4569
Testing,8,11,2459
Development,2,18,2445
Development,2,40,1097
Development,5,20,1889
Development,1,12,4115
Testing,5,37,628
Validation,2,10,1292
Analysis,8,11,1322
Testing,7,36,1820
Validation,2,25,4801
Testing,7,17,871
Testing,7,12,4781
Development,4,49,4559
Testing,9,24,510
Development,2,48,3118
Analysis,9,11,2771
Development,7,18,2865
Development,6,42,500
Development,7,19,1911
Analysis,1,9,2292
Testing,5,14,4450
Development,5,33,4808
Analysis,7,31,2891
Analysis,1,32,847
Development,5,38,4011
Development,4,16,2011
Analysis,6,46,4218
Analysis,3,14,4705
Analysis,4,32,2167
Analysis,5,49,1992
Development,2,38,1806
Development,9,45,2739
Analysis,2,22,3474
Validation,9,43,4573
Validation,7,21,3896
Testing,7,48,1863
Analysis,1,43,4203
Validation,5,36,3012
Validation,8,36,3012
Testing,3,20,4125
Analysis,5,6,3462
Analysis,9,23,3320
Testing,9,9,1331
Analysis,1,13,1350
Validation,8,43,2094
Validation,8,13,566
Validation,5,36,3581
Analysis,8,38,4687
Analysis,2,41,3836
Development,3,13,2203
Development,8,22,3429
Analysis,1,40,2285
Development,1,30,2029
Development,1,47,2882
Development,3,8,3529
Development,7,22,3813
Validation,4,21,2187
Testing,3,24,1942
Development,4,9,831
Validation,9,10,2700
Analysis,6,41,2081
Validation,1,13,2004
Development,8,44,1257
Analysis,8,48,4227
Validation,8,47,4318
Validation,1,19,3855
Validation,8,18,1378
Validation,7,11,2030
Development,9,38,1108
Analysis,9,34,2469
Development,4,14,3812
Analysis,5,13,570
Testing,7,13,2463
Analysis,9,18,4585
Validation,6,12,927
Analysis,5,45,3356
Development,4,47,1586
Testing,3,17,3234
Testing,7,45,1331
Testing,9,41,3994
Testing,6,41,724
Validation,8,17,4776
Testing,1,34,3954
Testing,9,46,4436
Validation,1,33,3936
Testing,2,14,3475
Development,3,25,2186
Validation,6,46,3463
Testing,3,17,4985
Validation,8,26,3495
Development,4,17,3441
Testing,6,13,1242
Development,7,11,3698
Development,6,27,1163
Development,6,5,4807
Testing,4,28,3789
Development,2,9,4022
Validation,6,13,4622
Testing,6,41,1663
Testing,3,23,3153
Analysis,4,35,984
Analysis,2,37,2383
Testing,9,44,1582
Testing,7,39,4633
Development,4,10,3577
Validation,7,22,948
Testing,9,46,4061
Validation,9,38,2761
Validation,7,21,1574
Validation,4,14,3236
Development,8,15,2157
Testing,2,16,3811
Testing,5,37,2591
Analysis,8,31,4058
Analysis,3,26,2619
Validation,5,17,2404
Analysis,1,10,4103
Analysis,8,49,3235
Validation,1,34,4526
Validation,7,46,950
Validation,4,25,2850
Validation,7,19,3514
Testing,2,20,4394
Analysis,6,31,868
Testing,2,27,1984
Testing,6,13,1202
Testing,3,15,4216
Testing,1,17,2968
Validation,1,27,1895
Testing,6,14,3561
Validation,4,31,2915
Testing,4,48,4110
Analysis,1,40,3747
Testing,5,30,3675
Validation,9,13,2286
Development,5,24,3166
Testing,1,31,3224
Analysis,1,23,3715
Development,4,21,1355
Development,5,29,2534
Testing,3,22,2000
Analysis,7,45,625
Development,3,25,3719
Validation,6,48,3895
Testing,8,11,1840
Analysis,6,14,1573
Development,1,45,3715
Testing,2,35,2460
Analysis,3,11,3685
Development,1,28,3479
Analysis,8,45,3946
Analysis,7,8,819
Testing,6,40,3922
Analysis,3,41,2752
Validation,2,15,1355
Analysis,6,41,3530
Analysis,5,43,4085
Validation,2,43,4906
Development,5,36,2924
Validation,5,37,3995
Validation,2,11,1161
Validation,1,43,4851
Development,1,44,1895
Testing,5,46,1273
Development,3,7,4336
Testing,5,47,3502
Analysis,6,48,563
Testing,5,43,3938
Development,5,27,3115
Validation,2,20,4742
Development,2,15,835
Validation,3,37,516
Testing,7,21,3553
Validation,9,16,2175
Testing,5,18,4129
Testing,2,24,3639
Validation,4,27,3047
Testing,1,40,4703
Analysis,3,11,4831
Analysis,4,22,1931
Validation,2,44,4595
Validation,8,15,4306
Validation,6,41,3544
Validation,8,15,936
Development,7,17,4467
Testing,6,31,4624
Analysis,5,32,4092
Testing,1,6,4181
Validation,2,20,3893
Validation,5,7,779
Development,6,47,4457
Analysis,3,28,2950
Validation,5,42,4771
Analysis,2,9,4703
Development,2,36,2873
Testing,9,48,4928
Analysis,5,16,2750
Analysis,6,40,2497
Testing,9,25,532
Analysis,4,22,3217
Development,3,15,2638
Testing,7,15,2270
Validation,2,34,3233
Development,1,20,2447
Analysis,7,38,2373
Validation,9,22,3014
Development,6,23,725
Testing,6,7,4999
Validation,2,38,590
Validation,9,49,4494
Testing,3,6,3209
Development,3,44,4631
Testing,6,47,4940
Validation,6,21,3567
Development,5,34,1872
Testing,7,38,2800
Development,6,24,2421
Development,7,19,1172
Analysis,8,15,3695
Analysis,9,38,4157
Testing,9,15,1909
Validation,2,38,1661
Validation,9,43,1460
Development,8,17,2246
Testing,7,17,1952
Validation,5,47,1322
Validation,5,32,4387
Testing,9,41,2604
Development,3,7,4495
Analysis,4,48,725
Development,2,6,2577
Development,9,25,1670
Analysis,5,35,1958
Development,9,46,1101
Development,8,5,4361
Validation,7,31,3741
Validation,2,33,2226
Testing,6,27,4830
Testing,6,35,616
Validation,1,35,2109
Testing,4,33,4298
Validation,9,33,3494
Development,8,30,1475
Analysis,2,20,3881
Development,5,26,3572
Testing,8,42,1529
Analysis,9,44,3773
Testing,9,32,4444
Testing,6,36,1896
Analysis,1,29,3417
Development,6,46,3296
Development,5,20,4679
Development,1,32,3016
Validation,8,19,1615
Development,6,11,1143
Testing,8,7,783
Testing,8,49,3960
Testing,3,40,4381
Development,5,36,697
Testing,6,22,1367
Validation,6,14,995
Testing,9,5,928
Analysis,1,30,3168
Testing,4,47,3211
Analysis,5,22,2516
Analysis,8,42,4365
Development,3,32,1111
Testing,1,17,1606
Validation,8,49,2355
Development,2,32,4669
Validation,1,20,3784
Validation,4,20,4832
Analysis,2,40,1365
Development,4,18,4893
Validation,1,19,2423
Validation,5,14,3866
Testing,7,15,949
Development,7,47,3523
Development,8,26,2254
Testing,8,16,4410
Development,8,33,4994
Analysis,1,34,4506
Validation,9,7,1908
Testing,6,47,3656
Development,3,36,4393
Analysis,5,13,2078
Testing,4,32,1298
Analysis,8,34,4467
Development,6,49,1863
Development,2,26,1919
Testing,6,31,3240
Testing,3,17,1682
Validation,7,20,4672
Development,3,31,2058
Validation,4,19,3741
Testing,7,22,2069
Testing,3,14,4508
Testing,1,34,3324
Testing,1,9,2315
Development,4,8,2846
Analysis,1,40,1475
Development,5,43,2577
Development,1,40,2279
Analysis,2,35,1772
Development,5,45,1868
Validation,9,49,2485
Analysis,2,48,3804
Analysis,4,35,2251
Analysis,4,9,1426
Testing,3,41,1668
Validation,7,23,707
Analysis,9,9,3766
Testing,3,49,2073
Development,9,44,2997
Development,8,28,4613
Analysis,9,17,4962
Analysis,1,14,2642
Validation,9,35,2527
Validation,8,46,4220
Testing,5,44,2415
Analysis,3,22,3209
Testing,2,26,1253
Testing,5,9,3831
Development,4,8,1317
Analysis,1,33,2530
Validation,9,47,4951
Development,1,44,4501
Validation,2,27,4568
Validation,6,29,3162
Analysis,8,36,2616
Validation,4,9,3457
Testing,5,41,3508
Validation,4,39,4946
Development,9,44,4668
Testing,6,49,864
Validation,6,18,1726
Development,3,11,3232
Testing,4,39,2845
Testing,8,29,1081
Analysis,8,25,2423
Analysis,7,33,4579
Analysis,8,49,2886
Testing,6,24,2889
Validation,7,43,2279
Development,9,15,3036
Testing,5,24,2186
Analysis,3,18,1108
Development,5,29,933
Development,9,11,3935
Validation,5,30,2854
Development,5,11,3018
Analysis,6,19,2369
Development,3,12,3578
Development,7,26,989
Development,3,32,2804
Testing,6,48,3945
Validation,1,29,4603
Validation,3,42,2992
Validation,4,42,2742
Testing,3,47,3910
Validation,6,28,4539
Development,1,7,1301
Validation,6,34,3847
Validation,6,39,1518
Validation,8,23,2635
Testing,3,24,2048
Testing,4,24,3310
Analysis,5,9,820
Development,3,30,1902
Development,7,26,2820
Testing,9,25,676
Analysis,5,48,1657
Analysis,6,9,4813
Validation,9,22,1974
Validation,1,36,3551
Testing,9,34,3494
Analysis,7,23,4783
Validation,3,41,4591
Testing,7,5,1994
Validation,2,9,876
Validation,4,35,3968
Development,3,24,2202
Analysis,6,27,1727
Analysis,3,36,4681
Development,6,13,3157
Validation,4,37,741
Development,8,36,3675
Analysis,6,31,4443
Development,3,32,3161
Testing,9,37,4628
Testing,1,24,2272
Analysis,4,6,2301
Testing,4,26,1070
Analysis,5,19,664
Development,3,11,4213
Testing,1,37,2699
Analysis,2,23,3474
Analysis,1,29,1180
Validation,2,34,3255
Validation,5,33,2487
Development,4,45,1030
Testing,8,31,688
Validation,7,49,2812
Validation,6,21,4456
Validation,8,6,4359
Validation,1,34,1231
Testing,5,18,2622
Analysis,8,41,2969
Analysis,2,19,3886
Validation,2,37,2006
Analysis,4,14,4193
Development,4,28,535
Analysis,1,19,1885
Analysis,9,35,1128
Analysis,1,29,3502
Validation,4,44,3689
Validation,7,37,942
Testing,2,16,1497
Validation,6,33,2145
Analysis,6,10,2251
Validation,9,9,1966
Development,1,14,2134
Validation,2,44,1462
Development,7,46,1004
Validation,8,12,2548
Analysis,7,36,4014
Testing,3,25,1172
Validation,9,9,1131
Development,2,26,988
Validation,1,20,553
Validation,7,26,3929
Validation,5,20,3737
Development,6,11,4394
Analysis,3,29,1586
Development,3,18,4644
Analysis,4,6,4879
Analysis,6,12,1636
Analysis,2,33,4057
Testing,1,10,2961
Validation,2,9,2658
Validation,9,16,4847
Analysis,9,27,3198
Testing,5,25,844
Testing,1,7,4124
Testing,2,21,3565
Testing,8,44,4712
Analysis,4,16,694
Analysis,7,32,2310
Development,5,37,2398
Validation,8,31,1207
Validation,6,6,3894
Development,9,19,2836
Analysis,5,7,2684
Validation,8,39,2895
Development,4,18,2843
Development,9,27,2181
Analysis,8,45,1794
Testing,2,21,4655
Testing,5,19,3989
Testing,1,27,2093
Validation,4,17,4168
Development,8,5,607
Analysis,6,6,2945
Validation,6,5,1518
Analysis,9,19,4019
Validation,9,46,3805
Testing,4,18,3139
Testing,5,8,4298
Validation,3,34,2061
Testing,2,42,3785
Validation,1,44,3864
Analysis,4,36,2244
Development,3,28,3614
Validation,8,16,3305
Testing,4,20,1298
Development,2,12,2619
Analysis,3,44,2310
Testing,2,9,3635
Validation,7,22,4709
Analysis,7,30,4118
Testing,9,33,3693
Testing,2,21,3889
Analysis,5,44,4143
Analysis,7,21,4488
Analysis,7,36,4440
Validation,7,6,4098
Analysis,9,6,4363
Analysis,9,42,3831
Development,7,37,4727
Testing,8,10,726
Analysis,6,12,2273
Testing,9,8,2229
Validation,2,5,2608
Development,2,37,4613
Testing,6,45,4453
Validation,4,14,4386
Validation,3,41,3062
Testing,9,13,2213
Testing,2,23,2735
Validation,1,6,3263
Development,9,5,625
Analysis,9,18,3099
Analysis,6,41,2814
Development,4,41,2128
Validation,6,34,1218
Development,6,26,1202
Testing,2,15,1715
Development,6,22,2491
Analysis,3,26,2590
Development,3,47,2816
Analysis,2,6,2265
Analysis,2,21,3425
Validation,3,20,3794
Validation,9,14,704
Analysis,6,6,523
Validation,4,8,3018
Development,3,21,1750
Validation,5,22,4823
Development,7,30,4415
Testing,2,33,1806
Development,5,19,4152
Development,5,5,4921
Validation,3,12,2995
Analysis,6,26,1658
Development,9,34,2651
Testing,9,31,2162
Analysis,3,8,1102
Analysis,5,12,3014
Validation,1,44,4187
Testing,5,24,4980
Testing,3,16,4933
Validation,6,19,3639
Validation,4,27,3531
Testing,3,15,1949
Testing,5,44,1649
Development,6,11,534
Testing,4,49,4602
Validation,3,43,4179
Testing,5,44,1789
Validation,7,30,4430
Validation,7,11,3486
Validation,2,49,3522
Analysis,9,22,1243
Analysis,3,36,1649
Validation,7,14,3246
Analysis,2,7,4187
Analysis,9,42,3015
Validation,7,36,4681
Testing,1,9,1767
Analysis,7,25,1153
Analysis,8,34,3823
Development,8,15,4559
Testing,8,15,4681
Testing,7,45,1087
Analysis,5,21,818
Testing,7,19,907
Analysis,3,35,1847
Analysis,5,20,3059
Testing,2,33,3933
Development,9,35,4876
Testing,8,10,3962
Validation,4,32,4809
Validation,4,32,3656
Development,3,15,4460
Development,2,10,942
Validation,6,39,2592
Validation,9,48,1690
Testing,9,16,1694
Analysis,3,7,4998
Analysis,1,44,1905
Validation,5,6,1268
Testing,2,18,4285
Validation,8,13,2913
Development,8,18,817
Development,3,45,3578
Testing,1,22,3466
Development,8,7,1604
Testing,9,29,4747
Validation,5,34,2319
Validation,3,5,3183
Testing,3,42,3840
Testing,7,13,3981
Testing,9,20,2902
Validation,9,39,3159
Testing,2,5,815
Testing,1,33,518
Development,3,12,1410
Validation,9,26,4455
Validation,8,43,1074
Development,6,38,1106
Development,8,13,3944
Development,7,34,2028
Development,7,35,3340
Validation,1,12,2483
Development,2,40,2974
Development,5,27,2652
Validation,3,19,1081
Testing,9,39,1578
Testing,2,44,4982
Development,3,9,1724
Analysis,2,14,1024
Testing,3,37,1217
Validation,4,7,3672
Development,9,21,1453
Testing,6,42,4270
Testing,8,5,1761
Development,6,34,4709
Analysis,9,20,1470
Validation,3,21,1165
Testing,1,20,3324
Validation,2,6,4987
Validation,3,9,2004
Validation,1,33,1541
Validation,2,21,3768
Testing,9,28,731
Analysis,1,17,3977
Validation,1,13,4694
Validation,8,14,1596
Testing,3,15,4885
Development,2,13,2394
Analysis,5,24,4941
Testing,7,37,539
Validation,9,47,3836
Analysis,6,47,2889
Testing,4,10,2894
Testing,5,10,3722
Analysis,3,14,4080
Development,6,39,3760
Development,8,46,4674
Validation,5,41,1028
Development,4,46,3078
Validation,8,16,1728
Analysis,5,41,4736
Analysis,6,38,2731
Validation,6,46,4145
Analysis,4,26,1115
Analysis,8,41,3665
Development,3,38,712
Development,6,14,2051
Testing,8,24,1827
Analysis,9,44,654
Development,3,42,4663
Validation,1,33,2494
Analysis,8,28,1029
Testing,6,25,2541
Testing,1,20,1817
Validation,6,20,2771
Analysis,8,23,1671
Development,7,18,3199
Validation,7,47,974
Analysis,2,45,2187
Analysis,6,20,758
Validation,2,40,4345
Development,2,42,3014
Testing,7,42,2434
Testing,4,46,4062
Testing,1,8,3076
Testing,1,35,3815
Testing,2,16,3170
Testing,1,19,3987
Development,8,40,3369
Validation,7,6,3370
Validation,7,48,4052
Validation,9,20,1426
Validation,1,17,2911
Development,1,38,4685
Validation,3,10,1049
Validation,6,10,4236
Validation,6,21,3247
Validation,3,36,2420
Validation,4,41,1555
Analysis,6,46,2283
Testing,9,22,3655
Validation,2,32,3869
Testing,6,7,611
Development,9,28,2533
Testing,8,40,1430
Development,2,21,1278
Development,9,13,1993
Testing,7,25,3688
Development,8,13,4667
Analysis,9,11,1964
Testing,7,25,4074
Validation,6,42,2820
Testing,8,5,2069
Development,6,37,4381
Development,9,10,3003
Development,4,17,4906
Validation,7,7,724
Testing,4,21,4073
Analysis,2,35,632
Testing,1,18,887
Analysis,5,18,2111
Analysis,1,33,3303
Testing,9,28,4765
Analysis,5,9,3610
Testing,3,22,1090
Development,8,45,4270
Validation,3,7,2330
Testing,9,38,4979
Testing,2,47,4680
Testing,6,31,4089
Validation,4,21,2510
Validation,2,20,2062
Validation,5,8,1476
Analysis,4,42,3529
Testing,4,42,2220
Testing,6,29,1747
Testing,9,20,2367
Analysis,7,16,1768
Validation,6,45,3341
Development,5,43,3607
Testing,5,9,1896
Development,5,5,2315
Analysis,2,48,2125
Analysis,9,10,1453
Validation,6,40,1696
Development,3,34,2237
Testing,8,14,2598
Development,3,14,3634
Development,5,24,1406
Analysis,4,47,3650
Analysis,6,18,4486
Analysis,2,24,920
Validation,4,48,4490
Development,7,44,508
Testing,4,22,4845
Validation,4,27,3198
Analysis,2,47,1509
Analysis,8,12,4167
Validation,4,6,2255
Validation,7,39,2123
Testing,4,34,4630
Development,3,39,3908
Analysis,1,20,1348
Testing,5,31,2995
Analysis,1,32,4320
Validation,8,10,4715
Development,6,42,1498
Validation,2,5,1434
Development,3,14,3910
Validation,6,46,2009
Validation,6,16,681
Analysis,2,13,3304
Analysis,7,11,1622
Analysis,8,17,4332
Testing,2,49,1015
Development,7,38,1685
Development,1,23,4422
Analysis,9,39,1210
Testing,2,37,598
Analysis,2,12,4383
Development,8,41,3799
Development,7,14,1566
Testing,3,32,1922
Validation,3,23,4135
Testing,9,7,2871
Testing,8,35,3634
Validation,9,20,3342
Validation,9,18,4847
Development,9,22,4880
Development,9,5,2892
Analysis,8,10,4039
Analysis,8,25,1719
Testing,9,20,834
Validation,9,22,760
Development,5,13,2172
Analysis,1,31,3062
Testing,1,44,3714
Validation,6,36,2523
Validation,2,34,4479
Testing,2,46,979
Validation,3,26,4955
